Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Codigos_CPV,Observaciones,Enlace HTML
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30239329433.,03/12/2024,Contratación,"30.726/23; SGC-ATF-003/23 Asesoramiento y coordinación en materia de firmes en las demarcaciones de carreteras del estado en Extremadura, Galicia, La Rioja, Murcia y Madrid.",Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",4.1) CPV principal: 71310000 (Servicios de consultoría en ingeniería y construcción). 4.2) CPV Lote 1: 71310000 (Servicios de consultoría en ingeniería y construcción). 4.3) CPV Lote 2: 71310000 (Servicios de consultoría en ingeniería y construcción). 4.4) CPV Lote 3: 71310000 (Servicios de consultoría en ingeniería y construcción). 4.5) CPV Lote 4: 71310000 (Servicios de consultoría en ingeniería y construcción). 4.6) CPV Lote 5: 71310000 (Servicios de consultoría en ingeniería y construcción).,Lote 5.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44383
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30245029762.,03/12/2024,Contratación,"30.120/24; AC-503/24; Consultoría y Asistencia Técnica para ""El control y vigilancia de la obra 33-Z-4720 proyecto de intefración urbana de la N-125 en Zaragoza desde el P.K. 8+870 AL 10+000"". Provincia de Zaragoza. Plan de Recuperación, Transformación y Resiliencia, Next Generation EU.",Abierto,Aragón,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311000 (Servicios de consultoría en ingeniería civil).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44384
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30244729761.,03/12/2024,Contratación,"30.121/24; AC-504/24. Consultoría y Asistencia Técnica para Control y Vigilancia de ""Humanización de la carretera VA-20 entre los PP.KK. 0,000 y 10,300, 33-VA-4340. Provincia de Valladolid. Plan de Recuperación, Transformación y Resiliencia, Next Generation EU.",Abierto,Castilla y León,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311000 (Servicios de consultoría en ingeniería civil).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44385
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30240906050.,03/12/2024,Contratación,"51-BU-0605; 30.223/24; Conservación y explotación de las carreteras y obras menores relacionadas con esos servicios, en el sector BU-06. Provincia de Burgos.",Abierto,Castilla y León,50200000 Servicios de reparación y mantenimiento,"50230000 (Servicios de reparación, mantenimiento y servicios asociados relacionados con carreteras y otros equipos).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44386
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C30243029835.,03/12/2024,Contratación,"30.211/24; AC-509/24. Consultoría y asistencia técnica para el control y vigilancia de las obras: 39-MU-6370 y 39-MU-6280. Provincia de Murcia. Plan de Recuperación, Transformación y Resiliencia, Next Generation EU.",Abierto,Región de Murcia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71311000 (Servicios de consultoría en ingeniería civil).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44387
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C54241457000.,03/12/2024,Licitación,32-CO-5700; 54.859/24 Rehabilitación estructural autovía A-4 (E-5) del P.K. 374+000 al P.K. 399+000. Tramo: El Carpio - Córdoba. Provincia de Córdoba.,Abierto,Andalucía,45000000 Trabajos de construcción,"45233000 (Trabajos de construcción, cimentación y pavimentación de autopistas y carreteras).",Reforma.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44388
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección General de Carreteras,C5424103670Z.,03/12/2024,Licitación,"52-CC-3670; 54.988/24 Mejora de la eficiencia energética mediante la gestión inteligente de alumbrado LED en túneles de la R.C.E. del Túnel de Miravete, Autovía A-5.Provincia de Cáceres. Plan de Recuperación, Transformación y Resiliencia financiado por la Unión Europea Next Generation EU.",Abierto,Extremadura,45000000 Trabajos de construcción,"45233000 (Trabajos de construcción, cimentación y pavimentación de autopistas y carreteras).",Reforma.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44389
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Centro Nacional de Información Geográfica,2024 00000065.,03/12/2024,Contratación,"Servicio para la contratación del diseño, construcción, Montaje, desmontaje, mantenimiento y asistencia técnica integral del Stand en la feria internacional de Turismo FITUR 2025 por el O.A. Centro Nacional de Información Geográfica.",No disponible,Comunidad de Madrid,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44390
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Presidencia de la Autoridad Portuaria de Huelva,ORD/IN/0738.,03/12/2024,Contratación,"Obras relativas al ""Proyecto de Unión del Muelle Cargadero de Mineral de la Antigua Compañía Riotinto"".",Abierto,Andalucía,45000000 Trabajos de construcción,"45223100 (Montaje de estructuras metálicas), 45221113 (Trabajos de construcción de pasarelas) y 45223110 (Instalación de estructuras metálicas).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44391
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.24/27507.0289.,03/12/2024,Licitación,Servicios de asistencia técnica para el control y vigilancia en la ejecución de la obra del proyecto de tratamiento y consolidación de la trinchera situada entre los pp.kk. 44+850 a 45+330. Línea Montcada bifurcación - La Tour de Carol. Tramo Montcada bifurcación. - Les Franqueses del Valles-Vic.,Abierto,Cataluña,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71300000 (Servicios de ingeniería).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44392
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,2.24/24108.0157.,03/12/2024,Licitación,"Diseño, Confección y Suministro de uniformes para el personal de las Estaciones de Viajeros.",Abierto,Nacional,"18000000 Prendas de vestir, calzado, artículos de viaje y accesorios",18222000 (Indumentaria corporativa).,Se modifica plazo/apertura por anuncio publicado el 18 de diciembre de 2024 (Ref. BOE-B-2024-46313 ). Se modifica plazo/apertura por anuncio publicado el 11 de diciembre de 2024 BOE-B-2024-45373.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44393
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF Alta Velocidad - Presidencia,4.24/20830.0235.,03/12/2024,Licitación,"Servicios de asistencia en la tramitación, gestión, homogeneización y catalogación documental y gráfica de expedientes derivados de las expropiaciones.",Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71356000 (Servicios técnicos).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44394
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF -Consejo de Administración,3.23/27507.0256.,03/12/2024,Contratación,Servicios para la redacción de los proyectos de construcción de acondicionamiento del tramo: Granada - Almería. Cinco (5) lotes.,Abierto,Andalucía,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",4.1) CPV principal: 71311230 (Servicios de ingeniería ferroviaria). 4.2) CPV Lote 001: 71311230 (Servicios de ingeniería ferroviaria). 4.3) CPV Lote 002: 71311230 (Servicios de ingeniería ferroviaria). 4.4) CPV Lote 003: 71311230 (Servicios de ingeniería ferroviaria). 4.5) CPV Lote 004: 71311230 (Servicios de ingeniería ferroviaria). 4.6) CPV Lote 005: 71311230 (Servicios de ingeniería ferroviaria).,Varias adjudicaciones.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44395
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Junta de Contratación del Ministerio de Transportes y Movilidad Sostenible,24RRN3OM0219.,03/12/2024,Contratación,"Contrato de adquisición y suministro de prensa diaria en formato papel, digital y digital premium, con destino al Gabinete de Prensa y a los altos cargos del Ministerio de Transportes y Movilidad Sostenible.",Abierto,Comunidad de Madrid,22000000 Impresos y productos relacionados,"4.1) CPV principal: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.2) CPV Lote 1: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.3) CPV Lote 2: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.4) CPV Lote 3: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas).",Lote 1.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44397
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Junta de Contratación del Ministerio de Transportes y Movilidad Sostenible,24RRN3OM0219.,03/12/2024,Contratación,"Contrato de adquisición y suministro de prensa diaria en formato papel, digital y digital premium, con destino al Gabinete de Prensa y a los altos cargos del Ministerio de Transportes y Movilidad Sostenible.",Abierto,Comunidad de Madrid,22000000 Impresos y productos relacionados,"4.1) CPV principal: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.2) CPV Lote 1: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.3) CPV Lote 2: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.4) CPV Lote 3: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas).",Lote 2.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44398
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Junta de Contratación del Ministerio de Transportes y Movilidad Sostenible,24RRN3OM0219.,03/12/2024,Contratación,"Contrato de adquisición y suministro de prensa diaria en formato papel, digital y digital premium, con destino al Gabinete de Prensa y a los altos cargos del Ministerio de Transportes y Movilidad Sostenible.",Abierto,Comunidad de Madrid,22000000 Impresos y productos relacionados,"4.1) CPV principal: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.2) CPV Lote 1: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.3) CPV Lote 2: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas). 4.4) CPV Lote 3: 22200000 (Periódicos, revistas especializadas, publicaciones periódicas y revistas).",Lote 3.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44399
"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES","Junta de Contratación del Ministerio de Educación, Formación Profesional y Deportes",J240014A.,03/12/2024,Contratación,"Servicio de asistencia técnica para el apoyo informático al profesorado de los centros educativos, no universitarios, sostenidos con fondos públicos, de la Ciudad de Ceuta.",Abierto,Ciudad de Ceuta,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",72315200 (Servicios de gestión de redes de datos).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44400
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Dirección Provincial del Servicio Público de Empleo Estatal en Pontevedra,PAS 36-01/2025.,03/12/2024,Contratación,"Servicio de vigilancia y seguridad, mantenimiento del sistema de intrusión, servicio acuda y custodia de llaves de la sede de la Dirección Provincial de Pontevedra, c/Cánovas del Castillo 18 - Vigo.",No disponible,Galicia,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44401
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Dirección Provincial del Servicio Público de Empleo Estatal en Pontevedra,PAS 36-02/2025.,03/12/2024,Contratación,Servicio de limpieza de las instalaciones de la Dirección Provincial del SEPE de Pontevedra .,Abierto,Galicia,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente","90000000 (Servicios de alcantarillado, basura, limpieza y medio ambiente) y 90911200 (Servicios de limpieza de edificios).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44402
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Dirección Provincial del Servicio Público de Empleo Estatal en Huelva,PAS H-01/2025.,03/12/2024,Contratación,"Servicio de ""Limpieza integral en el edificio de la Dirección Provincial del Servicio Público de Empleo Estatal en Huelva"".",Abierto,Andalucía,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",90911200 (Servicios de limpieza de edificios).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44403
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Dirección Provincial del Servicio Público de Empleo Estatal en Ávila,1/2025.,03/12/2024,Contratación,Servicio de limpieza de la Dirección Provincial del SEPE en Ávila.,Abierto,Castilla y León,"09000000 Derivados del petróleo, combustibles, electricidad y otras fuentes de energía",90919200 (Servicios de limpieza de oficinas).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44404
"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN","Dirección General de Desarrollo Rural, Innovación y Formación Agroalimentaria",2023/0000076.,03/12/2024,Contratación,"Proyecto de acondicionamiento del camino natural del Guadix-Almendricos, tramo Sierra de Baza, 1ª fase (pasarela sobre A-92N y paso bajo A-315).",Abierto,Andalucía,45000000 Trabajos de construcción,"45112000 (Trabajos de excavación y movimiento de tierras), 45221113 (Trabajos de construcción de pasarelas) y 45221200 (Trabajos de construcción de túneles, pozos y pasos subterráneos).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44405
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Guadalquivir,CE(DT)-7080.,03/12/2024,Contratación,Contrato de servicios de vigilancia y seguridad de las presas del Renegado e Infierno de la Confederación Hidrográfica del Guadalquivir en Ceuta.,No disponible,Ciudad de Ceuta,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44406
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Tajo,23DT0137/NE.,03/12/2024,Contratación,Coordinación de seguridad y salud en los contratos de obras y servicios de mantenimiento y conservación ordinaria de la dirección adjunta de la Confederación Hidrográfica del Tajo.,Abierto,Comunidad de Madrid,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71317210 (Servicios de consultoría en salud y seguridad).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44407
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Segura,22199.24.006.,03/12/2024,Licitación,"Suministro de kits fotométricos y reactivos generales para el Laboratorio de Análisis de Aguas de la Confederación Hidrográfica del Segura, O.A.",Abierto,Región de Murcia,"24000000 Productos químicos 33600000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal","5.1) CPV principal: 24000000 (Productos químicos), 24300000 (Productos químicos inorgánicos y orgánicos básicos) y 33696500 (Reactivos de laboratorio). 5.2) CPV Lote 1: 24300000 (Productos químicos inorgánicos y orgánicos básicos), 24000000 (Productos químicos) y 33696500 (Reactivos de laboratorio). 5.3) CPV Lote 2: 24000000 (Productos químicos), 24300000 (Productos químicos inorgánicos y orgánicos básicos) y 33696500 (Reactivos de laboratorio).",Varios lotes.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44408
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Segura,210.24.008.,03/12/2024,Licitación,Servicio de mantenimiento de tramos urbanos de cauces en diferentes municipios de la Demarcación Hidrográfica del Segura.,Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección 77000000 Servicios agrícolas, forestales, hortícolas, acuícolas y apícolas","5.1) CPV principal: 77310000 (Servicios de plantación y mantenimiento de zonas verdes), 71311000 (Servicios de consultoría en ingeniería civil), 71311100 (Servicios de asistencia en ingeniería civil), 71317210 (Servicios de consultoría en salud y seguridad), 71356200 (Servicios de asistencia técnica), 71520000 (Servicios de supervisión de obras), 71530000 (Servicios de consultoría en materia de construcción), 77312000 (Servicios de desbrozo), 77312100 (Servicios de eliminación de malezas), 77314000 (Servicios de mantenimiento de terrenos) y 77340000 (Poda de árboles y setos). 5.2) CPV Lote 1: 77310000 (Servicios de plantación y mantenimiento de zonas verdes), 77312000 (Servicios de desbrozo), 77312100 (Servicios de eliminación de malezas), 77314000 (Servicios de mantenimiento de terrenos) y 77340000 (Poda de árboles y setos). 5.3) CPV Lote 2: 77310000 (Servicios de plantación y mantenimiento de zonas verdes), 77312000 (Servicios de desbrozo), 77312100 (Servicios de eliminación de malezas), 77314000 (Servicios de mantenimiento de terrenos) y 77340000 (Poda de árboles y setos). 5.4) CPV Lote 3: 77310000 (Servicios de plantación y mantenimiento de zonas verdes), 77312000 (Servicios de desbrozo), 77312100 (Servicios de eliminación de malezas), 77314000 (Servicios de mantenimiento de terrenos) y 77340000 (Poda de árboles y setos). 5.5) CPV Lote 4: 71311000 (Servicios de consultoría en ingeniería civil), 71311100 (Servicios de asistencia en ingeniería civil), 71317210 (Servicios de consultoría en salud y seguridad), 71356200 (Servicios de asistencia técnica), 71520000 (Servicios de supervisión de obras) y 71530000 (Servicios de consultoría en materia de construcción).",Varios lotes.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44409
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,S-07/24-01.,03/12/2024,Licitación,Suministro de hasta 150 toneladas de policloruro dialildimetilamonio ( Poliadadmac ) (AC/Alicante).,Abierto,Comunidad Valenciana,24000000 Productos químicos,24958200 (Agentes floculantes).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44410
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,O-01/24-03.,03/12/2024,Licitación,"Proyecto 01/24 de obras de adecuación de los by-pass, campanas y purga de fangos de los decantadores de la ETAP de la Pedrera (AC/JACARILLA).",Abierto,Región de Murcia,45000000 Trabajos de construcción,45240000 (Trabajos de construcción para proyectos hidráulicos).,Reforma.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44411
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,O-09/22-11.,03/12/2024,Licitación,Proyecto 11/22 Obras para la instalación de sistemas de seguridad antiintrusión y CCTV en las instalaciones de los Depósitos de Rabasa (AC/Alicante).,Abierto,Región de Murcia,"35000000 Equipo de seguridad, extinción de incendios, policía y defensa 45000000 Trabajos de construcción",45312200 (Instalación de sistemas de alarma antirrobo) y 35113300 (Instalaciones de seguridad).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44412
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Júcar,FP.111.001/7511.,03/12/2024,Contratación,"Obras de emergencia para la reparación de daños en la presa de Forata ocasionados por la DANA del 29 de octubre de 2024, en el ámbito de la Confederación Hidrográfica del Júcar, O.A.",Negociado sin publicidad,Comunidad Valenciana,45000000 Trabajos de construcción,4.1) CPV principal: 45247270 (Trabajos de construcción de embalses). 4.2) CPV Lote 1: 45247270 (Trabajos de construcción de embalses). 4.3) CPV Lote 2: 45247270 (Trabajos de construcción de embalses).,Lotes 1 y 2.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44413
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,V-09/24-01.,03/12/2024,Licitación,"Servicio de limpieza de las dependencias de la Mancomunidad de los Canales del Taibilla situadas en Murcia, Alicante, Orihuela, Lorca y Bullas (VA/Varios) CP. 90.",Abierto,Región de Murcia,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",5.1) CPV principal: 90910000 (Servicios de limpieza). 5.2) CPV Lote 1: 90910000 (Servicios de limpieza). 5.3) CPV Lote 2: 90910000 (Servicios de limpieza). 5.4) CPV Lote 3: 90910000 (Servicios de limpieza). 5.5) CPV Lote 4: 90910000 (Servicios de limpieza). 5.6) CPV Lote 5: 90910000 (Servicios de limpieza).,Varios lotes.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44414
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,O-06/24-06.,03/12/2024,Licitación,Proyecto 06/24 de adecuación de la Fase de Decantación II de la ETAP de Lorca (MU/LORCA).,Abierto,Región de Murcia,45000000 Trabajos de construcción,45240000 (Trabajos de construcción para proyectos hidráulicos).,Se amplía información por anuncio publicado el 8 de marzo de 2025 BOE-B-2025-. Reforma.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44415
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla,V-06/24-04.,03/12/2024,Licitación,"Servicio para redacción de informes técnicos en materia de expedientes de expropiación forzosa, defensa del dominio público y gestión patrimonial de los bienes del organismo. Periodo 2025-2027.",Abierto,Región de Murcia,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71336000 (Servicios complementarios de ingeniería).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44416
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Guadiana,202400000165.,03/12/2024,Contratación,"Coordinación de seguridad y salud relativa a las actividades de conservación, mantenimiento y reparación de daños en el dominio público hidráulico en el ámbito de la Confederación Hidrográfica del Guadiana.",Abierto,Nacional,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección",71317200 (Servicios de salud y seguridad).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44417
MINISTERIO DE CULTURA,Dirección General del Instituto Nacional de las Artes Escénicas y de la Música,M240072.,03/12/2024,Contratación,Obras para la fase 1ª consolidación y acometidas de la rehabilitación de un inmueble para su adaptación como depósito de los fondos museográficos del Museo Nacional del Teatro.,Abierto,Castilla-La Mancha,45000000 Trabajos de construcción,45210000 (Trabajos de construcción de inmuebles).,Reforma.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44418
"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",Instituto Nacional de Estadística INE,2024N0074021.,03/12/2024,Contratación,"Suministro de software de compartición de ficheros OES y Filr, y de gestión y distribución Zenworks.",Negociado sin publicidad,Comunidad de Madrid,48000000 Paquetes de software y sistemas de información,48000000 (Paquetes de software y sistemas de información).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44419
MINISTERIO DE SANIDAD,Gerencia de Atención Sanitaria del Instituto Nacional de Gestión Sanitaria en Ceuta,PA/2024/027/GCE.,03/12/2024,Contratación,"Suministro, instalación y puesta en funcionamiento de varios equipos médicos para el Servicio de Urología del Hospital Universitario de Ceuta.",Abierto,Ciudad de Ceuta,"33100000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal",4.1) CPV principal: 33100000 (Equipamiento médico). 4.2) CPV Lote 1: 33100000 (Equipamiento médico). 4.3) CPV Lote 2: 33100000 (Equipamiento médico). 4.4) CPV Lote 3: 33100000 (Equipamiento médico).,Lote 3.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44420
MINISTERIO DE SANIDAD,Dirección General de Salud Digital y Sistemas de Información del Sistema Nacional de Salud,202405PA0012.,03/12/2024,Licitación,Servicio de alojamiento de infraestructura de respaldo y operación remota de los Sistemas de Información del Ministerio de Sanidad.,Abierto,Comunidad de Madrid,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo",72250000 (Servicios de sistemas y apoyo).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44421
MINISTERIO DE SANIDAD,Secretaría General de la Agencia Española de Medicamentos y Productos Sanitarios,2024/16209/003.,03/12/2024,Licitación,"Servicio de asistencia sanitaria, de cribado de lesiones pigmentarias, y plan de vacunaciones en la Agencia Española de Medicamentos y Productos Sanitarios (AEMPS).",Abierto,Comunidad de Madrid,85000000 Servicios de salud y asistencia social,No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44422
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",32833/25.,03/12/2024,Contratación,"Servicio de mantenimiento del microscopio confocal Leica DM 5500 Q. PLAN NACIONAL 2021 PID2021-123392NB-100, cofinanciado con Fondos FEDER ""Una manera de hacer Europa"", con destino al Instituto de Biología Molecular de Barcelona (IBMB).",Abierto,Cataluña,50400000 Servicios de reparación y mantenimiento,50430000 (Servicios de reparación y mantenimiento de equipos de precisión).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44423
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",32915/25.,03/12/2024,Contratación,Servicio de mantenimiento de un microscopio electrónico modelo Auriga 40 con destino al Instituto de Microelectrónica de Barcelona.,Abierto,Cataluña,50400000 Servicios de reparación y mantenimiento,50430000 (Servicios de reparación y mantenimiento de equipos de precisión).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44424
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",32606/25.,03/12/2024,Contratación,Servicio de auditorías internas en laboratorios y servicios con destino al CSIC - Organización Central.,Abierto,Nacional,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",79212200 (Servicios de auditoría interna).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44425
"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES","Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M",32994/25.,03/12/2024,Licitación,"Servicio técnico de desarrollo y despliegue del Atlas Climático Interactivo de Copernicus, destinado al Instituto de Física de Cantabria de la Agencia Estatal Consejo Superior de Investigaciones Científicas.",Abierto,Cantabria,"72000000 Servicios TI: consultoría, desarrollo de software, Internet y apoyo","72212460 (Servicios de desarrollo de software analítico, científico, matemático o predictivo).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44426
